ep_number,video_id,video_url,title,speaker,subtitle_mode,lang,txt_path
114,h6miiP8BxWE,https://www.youtube.com/watch?v=h6miiP8BxWE,"Direto ao ponto: WhatsApp e mulheres produtoras de café em tempos de Covid 19 – Bianca Mayara Mendes","Rede Aurora",auto,pt,"downloads/redeauroraater/#114 - Direto ao ponto- WhatsApp e mulheres produtoras de café em tempos de Covid 19 – Bianca Mayara Mendes {Rede Aurora}.txt"
115,LkjVQNZhrxA,https://www.youtube.com/watch?v=LkjVQNZhrxA,"O Extensionista: Pesquisa, Ensino e Extensão - Ezequiel Redin","Rede Aurora",auto,pt,"downloads/redeauroraater/#115 - O Extensionista- Pesquisa, Ensino e Extensão - Ezequiel Redin {Rede Aurora}.txt"
116,rhdhOtwOIOM,https://www.youtube.com/watch?v=rhdhOtwOIOM,"Direto ao ponto: Qual a repercussão do canal O Extensionista com os agricultores?","Rede Aurora",auto,pt,"downloads/redeauroraater/#116 - Direto ao ponto- Qual a repercussão do canal O Extensionista com os agricultores- {Rede Aurora}.txt"
117,zhVRQjEM-NI,https://www.youtube.com/watch?v=zhVRQjEM-NI,"Direto ao ponto: O uso das redes sociais como fator de inovação na pecuária brasileira - Mara Ramos","Rede Aurora",auto,pt,"downloads/redeauroraater/#117 - Direto ao ponto- O uso das redes sociais como fator de inovação na pecuária brasileira - Mara Ramos {Rede Aurora}.txt"
118,97xM0eEk5BY,https://www.youtube.com/watch?v=97xM0eEk5BY,"Direto ao ponto: Reflexões e experiências sobre Ater Digital pela Emater (DF) - Renato Lopes","Rede Aurora",auto,pt,"downloads/redeauroraater/#118 - Direto ao ponto- Reflexões e experiências sobre Ater Digital pela Emater (DF) - Renato Lopes {Rede Aurora}.txt"
119,_JGWmiZ4pHs,https://www.youtube.com/watch?v=_JGWmiZ4pHs,"Direto ao ponto: O papel do extensionista entre pesquisadores e produtores rurais - Silvia Gomes","Rede Aurora",auto,pt,"downloads/redeauroraater/#119 - Direto ao ponto- O papel do extensionista entre pesquisadores e produtores rurais - Silvia Gomes {Rede Aurora}.txt"
120,v8c0EhPT2yY,https://www.youtube.com/watch?v=v8c0EhPT2yY,"Direto ao ponto: Projeto Mulheres do Café (Paraná) - Cíntia Mara Lopes de Souza","Rede Aurora",auto,pt,"downloads/redeauroraater/#120 - Direto ao ponto- Projeto Mulheres do Café (Paraná) - Cíntia Mara Lopes de Souza {Rede Aurora}.txt"
121,N3YitJcIMho,https://www.youtube.com/watch?v=N3YitJcIMho,"Direto ao ponto: Ater Digital para agricultura familiar no pós-Covid-19 - Kleber Pettan","Rede Aurora",auto,pt,"downloads/redeauroraater/#121 - Direto ao ponto- Ater Digital para agricultura familiar no pós-Covid-19 - Kleber Pettan {Rede Aurora}.txt"
122,AMpn4jn0QdE,https://www.youtube.com/watch?v=AMpn4jn0QdE,"O uso do WhatsApp por mulheres produtoras de café em tempos de Covid-19 – Bianca Mayara Mendes","Rede Aurora",auto,pt,"downloads/redeauroraater/#122 - O uso do WhatsApp por mulheres produtoras de café em tempos de Covid-19 – Bianca Mayara Mendes {Rede Aurora}.txt"
123,5SMnMh1NkVo,https://www.youtube.com/watch?v=5SMnMh1NkVo,"Direto ao ponto: Estratégias de comunicação na Ater Digital na Fundação Itesp -  Anderson Hazenfratz","Rede Aurora",auto,pt,"downloads/redeauroraater/#123 - Direto ao ponto- Estratégias de comunicação na Ater Digital na Fundação Itesp - Anderson Hazenfratz {Rede Aurora}.txt"
124,UMKbiPreC7c,https://www.youtube.com/watch?v=UMKbiPreC7c,"Direto ao ponto: A Ater Digital na Fundação Itesp -  Anderson Hazenfratz","Rede Aurora",auto,pt,"downloads/redeauroraater/#124 - Direto ao ponto- A Ater Digital na Fundação Itesp - Anderson Hazenfratz {Rede Aurora}.txt"
125,z6Vew8uJfmU,https://www.youtube.com/watch?v=z6Vew8uJfmU,"Direto ao ponto: Facebook, informação e memória na Fundação Itesp -  Anderson Hazenfratz","Rede Aurora",auto,pt,"downloads/redeauroraater/#125 - Direto ao ponto- Facebook, informação e memória na Fundação Itesp - Anderson Hazenfratz {Rede Aurora}.txt"
