ep_number,video_id,video_url,title,speaker,subtitle_mode,lang,txt_path
264,btV_keR0kyU,https://www.youtube.com/watch?v=btV_keR0kyU,"O uso de redes sociais pela agricultura familiar para ampliar a comercialização","Livio Sergio Dias Claudino (Unifesspa) e Graciele dos Prazeres Pustilnik (UFRGS)",auto,pt,"downloads/oextensionista/#264 - O uso de redes sociais pela agricultura familiar para ampliar a comercialização {Livio Sergio Dias Claudino (Unifesspa) e Graciele dos Prazeres Pustilnik (UFRGS)}.txt"
265,dedjhVNb3So,https://www.youtube.com/watch?v=dedjhVNb3So,"Avaliando os efeitos da Extensão Rural na produtividade em um sistema pluralista","Adauto B. Rocha Junior - Universidade de Missoure",auto,pt,"downloads/oextensionista/#265 - Avaliando os efeitos da Extensão Rural na produtividade em um sistema pluralista {Adauto B. Rocha Junior - Universidade de Missoure}.txt"
266,XrKh_XIORtM,https://www.youtube.com/watch?v=XrKh_XIORtM,"Inteligência coletiva na Agricultura: como a IA fortalece a colaboração entre campo e laboratório","Carlos Catalão Alves - Nova FCSH",auto,pt,"downloads/oextensionista/#266 - Inteligência coletiva na Agricultura- como a IA fortalece a colaboração entre campo e laboratório {Carlos Catalão Alves - Nova FCSH}.txt"
267,dG4j6XX9QjM,https://www.youtube.com/watch?v=dG4j6XX9QjM,"A linguagem clara como estratégia de extensão rural, em Portugal","Cristina Nobre Soares – Comunicação Clara de Ciência",auto,pt,"downloads/oextensionista/#267 - A linguagem clara como estratégia de extensão rural, em Portugal {Cristina Nobre Soares – Comunicação Clara de Ciência}.txt"
268,j5cPewQXi80,https://www.youtube.com/watch?v=j5cPewQXi80,"Desafios da Extensão Rural Contemporânea","Thiago Vasconcelos Melo - UFVJM",auto,pt,"downloads/oextensionista/#268 - Desafios da Extensão Rural Contemporânea {Thiago Vasconcelos Melo - UFVJM}.txt"
269,sznoH1oMhNc,https://www.youtube.com/watch?v=sznoH1oMhNc,"Agricultura urbana: o caso exitoso de Maringá","Ednaldo Michellon – DAG/UEM",auto,pt,"downloads/oextensionista/#269 - Agricultura urbana- o caso exitoso de Maringá {Ednaldo Michellon – DAG-UEM}.txt"
270,dOSnFBgVjuo,https://www.youtube.com/watch?v=dOSnFBgVjuo,"Transformando a Extensão Rural: Projeto Piloto Epagri e ATER+ Digital","Humberto Bicca Neto (EPAGRI)",auto,pt,"downloads/oextensionista/#270 - Transformando a Extensão Rural- Projeto Piloto Epagri e ATER+ Digital {Humberto Bicca Neto (EPAGRI)}.txt"
271,vEVAEhnYGvs,https://www.youtube.com/watch?v=vEVAEhnYGvs,"Conta que conecta: o poder das histórias nos projetos comunitários","O Extensionista",auto,pt,"downloads/oextensionista/#271 - Conta que conecta- o poder das histórias nos projetos comunitários {O Extensionista}.txt"
272,FPY7UFdSy6U,https://www.youtube.com/watch?v=FPY7UFdSy6U,"Extensão universitária e sustentabilidade em rede: a experiência do assentamento rural Itamarati","Juliana Carrijo",auto,pt,"downloads/oextensionista/#272 - Extensão universitária e sustentabilidade em rede- a experiência do assentamento rural Itamarati {Juliana Carrijo}.txt"
273,2DJFKwGiB34,https://www.youtube.com/watch?v=2DJFKwGiB34,"CESMA: Cooperativismo estudantil e seus desafios","O Extensionista",auto,pt,"downloads/oextensionista/#273 - CESMA- Cooperativismo estudantil e seus desafios {O Extensionista}.txt"
